"","Country","CountryCode","mean_feeling_of_happiness","mean_life_satisfaction","mean_financial_satisfaction","Year","gdp","Number_below_$3.65_a_day","Number_below_$6.85_a_day","Number_below_$10_a_day","total_population","Region","Latitude","Longitude","Length","Area"
"522","Morocco","MAR",2.0378421900161,5.85909822866345,5.22946859903382,"2013",3117.51513671875,"3290341","14195655","22170721",33803527,"Middle East and North Africa",31.791702,-7.09262,56.1032566069788,62.4631664502859
"523","Morocco","MAR",2.0378421900161,5.85909822866345,5.22946859903382,"1990",1219.4306640625,"6070578","14663868","19450382",24570814,"Middle East and North Africa",31.791702,-7.09262,56.1032566069788,62.4631664502859
"524","Morocco","MAR",2.0378421900161,5.85909822866345,5.22946859903382,"2006",2200.96606445313,"6222266","18226972","24078982",30833022,"Middle East and North Africa",31.791702,-7.09262,56.1032566069788,62.4631664502859
"525","Morocco","MAR",2.0378421900161,5.85909822866345,5.22946859903382,"2000",1348.0498046875,"9370690","19635048","23984211",28554415,"Middle East and North Africa",31.791702,-7.09262,56.1032566069788,62.4631664502859
"526","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa",-18.665695,35.529562,66.988924479769,66.9765242193152
"527","Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",NA,NA,87.3471888591459,58.1201079312892
"528","Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa",-22.95764,18.49041,48.9028241392298,72.3101390457149
"529","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",-0.522778,166.931503,0.173777331029355,0.00220682173966317
"530","Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia",28.394857,84.124008,23.5332666615078,13.5337204534609
"531","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe and Central Asia",52.132633,5.291266,25.804231563779,4.59885345927115
"532","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",-20.904305,165.618042,12.5718707845911,1.64059897860131
"533","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",-40.900557,174.885971,80.3321209534038,29.1742387080513
"534","Nicaragua","NIC",1.66666666666667,7.94333333333333,6.71583333333333,"2014",1913.52134831663,"887089","2585221","3859258",6208676,"Latin America and Caribbean",12.865416,-85.207229,18.0306744404883,10.6687971007593
"535","Nicaragua","NIC",1.66666666666667,7.94333333333333,6.71583333333333,"1998",931.795913449482,"2059597","3684962","4280725",4974552,"Latin America and Caribbean",12.865416,-85.207229,18.0306744404883,10.6687971007593
"536","Nicaragua","NIC",1.66666666666667,7.94333333333333,6.71583333333333,"2009",1438.08682340939,"1392891","3278738","4330903",5770639,"Latin America and Caribbean",12.865416,-85.207229,18.0306744404883,10.6687971007593
"537","Nicaragua","NIC",1.66666666666667,7.94333333333333,6.71583333333333,"2005",1158.88336804158,"2397520","4148430","4854492",5454678,"Latin America and Caribbean",12.865416,-85.207229,18.0306744404883,10.6687971007593
